"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Max Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Feb"	"2"	49.3939	Missing
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Mar"	"3"	63.4097	80.5830
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Apr"	"4"	69.2140	81.6227
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"May"	"5"	75.1939	82.9150
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Jun"	"6"	88.8274	87.2813
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Jul"	"7"	94.6844	91.3768
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Aug"	"8"	97.1740	93.3909
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Sep"	"9"	88.5696	87.0221
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Oct"	"10"	75.1871	82.8143
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Nov"	"11"	59.5121	79.9385
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Dec"	"12"	47.6718	Missing
"Total"	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2011"	"2011"			71.6813	88.5879
"Total"	"Arizona"	"04"	"Mohave County, AZ"	"04015"					73.1483	88.6527
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1979"	"1979"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Jul"	"7"	Missing	Missing
