State,State Code,County,County Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Max Heat Index (F),Cases
Arizona,4.0,Cochise,4003.0,2007,2007.0,Apr,4,73.1594,80.1545,2
Arizona,4.0,Cochise,4003.0,2007,2007.0,May,5,82.4504,82.5497,3
Arizona,4.0,Cochise,4003.0,2007,2007.0,Jun,6,91.2352,88.0613,2
Arizona,4.0,Cochise,4003.0,2007,2007.0,Jul,7,91.2198,89.3037,3
Arizona,4.0,Cochise,4003.0,2007,2007.0,Aug,8,88.083,88.3609,1
Arizona,4.0,Cochise,4003.0,2007,2007.0,Sep,9,84.7275,84.2895,1
Arizona,4.0,Cochise,4003.0,2007,2007.0,Oct,10,77.018,81.6465,3
Arizona,4.0,Cochise,4003.0,2007,2007.0,Nov,11,70.1402,79.3102,4
Arizona,4.0,Cochise,4003.0,2008,2008.0,Apr,4,73.9825,80.2446,1
Arizona,4.0,Cochise,4003.0,2008,2008.0,May,5,79.0426,82.5558,1
Arizona,4.0,Cochise,4003.0,2008,2008.0,Jun,6,92.2909,88.4324,3
Arizona,4.0,Cochise,4003.0,2008,2008.0,Jul,7,87.1941,87.3067,1
Arizona,4.0,Cochise,4003.0,2008,2008.0,Aug,8,86.0223,86.3668,1
Arizona,4.0,Cochise,4003.0,2008,2008.0,Sep,9,83.2644,82.7764,1
Arizona,4.0,Cochise,4003.0,2008,2008.0,Oct,10,77.2236,80.3778,2
Arizona,4.0,Cochise,4003.0,2008,2008.0,Nov,11,66.1957,79.5674,1
Arizona,4.0,Cochise,4003.0,2009,2009.0,Feb,2,62.4392,79.2852,3
Arizona,4.0,Cochise,4003.0,2009,2009.0,Mar,3,67.787,78.9448,2
Arizona,4.0,Cochise,4003.0,2009,2009.0,Apr,4,71.458,80.2155,4
Arizona,4.0,Cochise,4003.0,2009,2009.0,May,5,84.9591,83.3852,1
Arizona,4.0,Cochise,4003.0,2009,2009.0,Jun,6,87.8931,85.064,4
Arizona,4.0,Cochise,4003.0,2009,2009.0,Jul,7,95.9844,92.4931,4
Arizona,4.0,Cochise,4003.0,2009,2009.0,Aug,8,94.0537,90.0327,5
Arizona,4.0,Cochise,4003.0,2009,2009.0,Sep,9,88.342,85.4395,3
Arizona,4.0,Cochise,4003.0,2009,2009.0,Oct,10,74.2557,81.4203,4
Arizona,4.0,Cochise,4003.0,2009,2009.0,Nov,11,68.5097,79.4014,6
Arizona,4.0,Cochise,4003.0,2010,2010.0,Mar,3,62.6502,78.5765,5
Arizona,4.0,Cochise,4003.0,2010,2010.0,Apr,4,70.7128,79.5067,3
Arizona,4.0,Cochise,4003.0,2010,2010.0,May,5,80.3178,82.4551,5
Arizona,4.0,Cochise,4003.0,2010,2010.0,Jun,6,91.1383,87.7767,5
Arizona,4.0,Cochise,4003.0,2010,2010.0,Jul,7,91.7557,89.8576,2
Arizona,4.0,Cochise,4003.0,2010,2010.0,Aug,8,90.3605,89.1235,5
Arizona,4.0,Cochise,4003.0,2010,2010.0,Sep,9,88.3269,86.2959,2
Arizona,4.0,Cochise,4003.0,2010,2010.0,Oct,10,76.9787,81.4659,5
Arizona,4.0,Cochise,4003.0,2010,2010.0,Nov,11,62.5334,78.9,6
Arizona,4.0,Cochise,4003.0,2011,2011.0,Mar,3,71.0405,78.9787,7
Arizona,4.0,Cochise,4003.0,2011,2011.0,Apr,4,76.2291,80.3845,5
Arizona,4.0,Cochise,4003.0,2011,2011.0,May,5,79.5585,82.4783,8
Arizona,4.0,Cochise,4003.0,2011,2011.0,Jun,6,93.9643,89.435,6
Arizona,4.0,Cochise,4003.0,2011,2011.0,Jul,7,92.875,89.7827,4
Arizona,4.0,Cochise,4003.0,2011,2011.0,Aug,8,93.5783,91.1729,10
Arizona,4.0,Cochise,4003.0,2011,2011.0,Sep,9,87.707,85.2217,7
